Título del trabajo,Ubicación del trabajo,Tipo de empleo,Entidad Legal,Descripción del trabajo,Calificaciones/Requisitos,Información adicional
Indirect Materials Planner,"Pedro Escobedo-San Juan del Río, La Estancia, Qro., Mexico",Full-time,Full-time,"Company DescriptionBosch Rexroth is one of the world’s leading providers of drive and control technologies. Regardless of the motion task that customers face anywhere in the world, they will always find a Bosch Rexroth team with the local experience and the appropriate know-how from more than 30 industries and all drive and control technologies. Our associates take on their customers’ challenges with passion and persistence until the right solution is found. This is what makes Bosch Rexroth a strong, reliable partner for Mobile Applications, Machinery Applications and Engineering and Factory Automation. As the Drive & Control Company, we develop, produce, and distribute our components and system solutions in over 80 countries. You’ll find our drive and control technology in a wide variety of applications: From excavators and tractors to CNC woodworking and metal-cutting machines. You’ll find us in automotive factories, packaging systems for the food industry, medical devices and laboratories.Job DescriptionWould you like to be part of the technical team for the new plant?We are looking for a talent like you!• Shaping the future: Analyze and send order forecasts to indirect suppliers in a timely manner to ensure the receipt of material according to the production plan.• Create a collaborative environment: Follow up on material in transit, confirming the invoice according to the corresponding purchase order with the support of the transit area and contractors in the different internet portals available to ensure arrival on time and avoid shortages. in production.• Create something new :Analyze and define optimal inventory levels and reorder point to avoid excess inventory and align costs and goals for indirect materials• Take responsibility: Plan and follow up on the supply of indirect material, aligned to the inventory cost objectives and arrive according to the policies of the company and department,• Think holistically: with leading plants and regional organizationsQualificationsEducation: Bachelor's degree Work History: several years of relevant professional experience preferably in maintenance prior leadership experience in project leading roles/team management as well as understandingExperience and Knowledge: SAP, Customs and traffic rules, Negotiation with suppliers Languages: English advanced.Personality: target oriented, entrepreneurial spirit, motivated, open minded to work in an international teamAdditional InformationBOSCH is a proud supporter of STEM (Science, Technology, Engineering & Mathematics) InitiativesBosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 17,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates. Get to know more about how we work at Bosch and our new open positions on our social networks• Facebook: Bosch Talento México• Instagram: Bosch Campus México• LinkedIn: Bosch México","Education: Bachelor's degree, Work History: several years of relevant professional experience preferably in maintenance prior leadership experience in project leading roles/team management as well as understanding, Experience and Knowledge: SAP, Customs and traffic rules, Negotiation with suppliers, Languages: English advanced., Personality: target oriented, entrepreneurial spirit, motivated, open minded to work in an international team","BOSCH is a proud supporter of STEM (Science, Technology, Engineering & Mathematics) InitiativesBosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 17,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates. Get to know more about how we work at Bosch and our new open positions on our social networks• Facebook: Bosch Talento México• Instagram: Bosch Campus México• LinkedIn: Bosch México"
Especialista de Comunicacion,"C. Hornos, Juáre, 32630 Cd Juárez, Chih., México",A jornada completa,A jornada completa,"Descripción de la empresaBosch fue fundada en Stuttgart en 1886 por Robert Bosch (1861-1942), y por más de 130 años se ha distinguido por una cultura corporativa única, basada en valores sólidos que nos impulsan a mejorar cada día. Nuestros productos, presentes en una amplia variedad de terrenos, contribuyen a mejorar la calidad de vida de millones de personas.Descripción del empleoResponsibilidades: Implementación del programa de comunicación interno.Cumplimiento de la guía de marca de Bosch.Elaboración y ejecución de estrategias para una comunicación exitosa con todos los asociados.Asesoramiento de comunicación.Creación de contenidos para comunicación interna. Soporte de comunicación a clientes internos (foto, diseño, video).Interlocución con diversos clientes para el seguimiento de los proyectos.Alineación con programas de comunicación corporativa de Estados Unidos, Alemania y México.Coordinación y administración de eventos internos.Identificación de oportunidades dentro del área y elaboración de propuestas para la misma.Contribuir y utilizar de manera efectiva diferentes recursos para cumplir con los objetivos de: Seguridad (incl. medio ambiente), Calidad, Entrega y Costos, a través de la eliminación de diferentes tipos de residuos.Aspectos e Impactos ambientalesManejo de productos químicosManejo de residuosManejo de emisiones a la atmosferaManejo de aguaContribución y ejecución de acciones de Seguridad, resolución de problemas de calidad con análisis de causa raíz y eliminación de riesgosAsegurar los adecuados controles operativos basados en estándares de EHS: riesgos ambientales, residuos (peligrosos y no peligrosos), consumo de agua y energía.Evaluación de RiesgosRuidoIluminaciónSustancias químicas en medio ambienteEquipo de protecci ón personalManejo de cargasRequisitos LegalesAsegurar el correcto entendiminento en materia de Seguridad y medio ambiente, atender las capacitaciones a las que se este asignado, detener cualquier proceso o maquinaria que este en malfuncionamiento y reportar al supervisor inmediato o al departamento que compete.RequisitosConocimiento de programas de Adobe Creative Cloud (Illustrator, Photoshop, Premiere Pro, After Effects).Conocimiento de uso de Cámaras DSLR y cámara de video.Conocimiento de uso de equipo fotográfico, video y audio.Creación de órdenes de compra y control de presupuesto para eventos.Contacto y seguimiento con proveedores externos.Desarrollo y entrega de contenido audiovisualImplementar en el site estrategias regionales de comunicaciónExperiencia en manejo de programas de adobe (ilustrador, photoshop, after effects)CreatividadFlexibleComunicativaInformación adicionalBosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 17 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología. Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados.","Conocimiento de programas de Adobe Creative Cloud (Illustrator, Photoshop, Premiere Pro, After Effects)., Conocimiento de uso de Cámaras DSLR y cámara de video., Conocimiento de uso de equipo fotográfico, video y audio., Creación de órdenes de compra y control de presupuesto para eventos., Contacto y seguimiento con proveedores externos., Desarrollo y entrega de contenido audiovisual, Implementar en el site estrategias regionales de comunicación, Experiencia en manejo de programas de adobe (ilustrador, photoshop, after effects), Creatividad, Flexible, Comunicativa","Bosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 17 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología. Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados."
Supplier Quality Engineer (Steering Columns),"Av. Ignacio L. Vallarta 3090, Vallarta Nte., 44690 Guadalajara, Jal., Mexico",Full-time,Full-time,"Company DescriptionDo you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology - with us, you will have the change to improve quality of life all across the globe. Welcome to Bosch!Job DescriptionThe supplier quality engineer is responsible for the following activities:APQP ActivitiesAssure compliance with Bosch quality requirements at the supplier and their sub-suppliers during the product development and release phases including but not limited to:Technical Supplier Discussions.Measurement review including ICL, control plan, measurement description.Process review and assessments including control plan, PFMEA, [email protected] .Launch control activities including Early Production Containment (EPC), Process Release, [email protected]Audit Activities:Conduct VDA and 14 Quality Basics audits at select suppliers in support of APQP activities and supplier quality claims.Supplier Quality Claims (8D):Troubleshooting non-conforming components using 8D methodology including fast response at the supplier.Supplier Development:Development of key suppliers in the use of core automotive tools including but not limited to 8D, FMEA, Control Plans and Bosch 14 Quality BasicsQualificationsRequiredBachelor or Master degree in Mechanical/Industrial engineering or in a related fieldMore than 5 years experience in Quality Assurance in Automotive industryExperience with Quality Methods such as 8D, FMEA, APQP/PPAP, Control plans, SPC, MSA, etc.Knowledge on Manufacturing Processes.Experience in Supplier Quality/ProductionGood ability to manage business relationship with internal customers and external suppliersPro-active and structured working styleFluently English language skill both written and spokenGood social, team and communication skillsOptional but desirablePreferably internal auditor training ISO/TS16949, ISO9000, Six Sigma, Problem SolvingAdditional InformationBosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.","Bachelor or Master degree in Mechanical/Industrial engineering or in a related field, More than 5 years experience in Quality Assurance in Automotive industry, Experience with Quality Methods such as 8D, FMEA, APQP/PPAP, Control plans, SPC, MSA, etc., Knowledge on Manufacturing Processes., Experience in Supplier Quality/Production, Good ability to manage business relationship with internal customers and external suppliers, Pro-active and structured working style, Fluently English language skill both written and spoken, Good social, team and communication skills, Preferably internal auditor training ISO/TS16949, ISO9000, Six Sigma, Problem Solving","Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates."
Traceability Systems Engineer (Nexeed MES),"C. Roberto Bosch, Delegación Sta Ana Tlapaltitlán, 50071 Toluca de Lerdo, Méx., Mexico",Full-time,Full-time,"Company DescriptionAt Bosch, we shape the future by inventing high-quality technologies and services that spark enthusiasm and enrich people’s lives.Our promise to our associates is rock-solid: we grow together, we enjoy our work, and we inspire each other.Join in and feel the difference. Job DescriptionGenerate proposals from early offer phases, follow up and deliver projects to the client for implementations and training of Nexeed MES, as well as digital solutions of I4.0, ensuring that they are within the goals of quality, delivery time and cost, according to the internal procedures and general procedures that apply.Technical Traceability Systems EngineerExpert in 4.0 IndustrySupport in problem analysis in through Problem Solving methodologyDevelop and execute Nexeed MES solutions for customers, through the proposal and generation of documents and calculation of offersExecute Nexeed MES projects and I4.0 projects purchased by customersImplementations of the Nexeed MES and I4.0 projects (rollout of new products, necessary technical skills and technical training)QualificationsAbility to present and convince ideas and concepts related to the projectsIntermediate knowledge in Microsoft Windows serverIntermediate Project ManagementIntermediate knowledge in databaseBasic knowledge in actual OPCON MES modules (Ex: distpacher, DDL, BMDT, ID Bilder, OIS.net, Line Control, Mat Control, tool control, access control)Basic experience with Nexeed MESIntermediate skills in Project Arquitecture DevelopmentAbility to builds lasting relationships of trust across levels, regions, backgrounds and culture.Additional InformationBosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 17,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates. Get to know more about how we work at Bosch and our new open positions on our social networks:Facebook: Bosch Talento MéxicoInstagram: Bosch Campus MéxicoLinkedIn: Bosch México","Ability to present and convince ideas and concepts related to the projects, Intermediate knowledge in Microsoft Windows server, Intermediate Project Management, Intermediate knowledge in database, Basic knowledge in actual OPCON MES modules (Ex: distpacher, DDL, BMDT, ID Bilder, OIS.net, Line Control, Mat Control, tool control, access control), Basic experience with Nexeed MES, Intermediate skills in Project Arquitecture Development, Ability to builds lasting relationships of trust across levels, regions, backgrounds and culture.","Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 17,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates. Get to know more about how we work at Bosch and our new open positions on our social networks:Facebook: Bosch Talento MéxicoInstagram: Bosch Campus MéxicoLinkedIn: Bosch México"
Regional Financial Analyst,"Avenida Colon No 20, Querétaro, Colón, Mexico",Full-time,Full-time,"Company DescriptionBosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for over 130 years has been distinguished by a unique corporate culture based on solid values that drive us to improve every day. Our products, present in a wide variety of lands, contribute to improve the quality of life of millions of people.Job DescriptionCost profitability calculations for potential and current programsAd Hoc requests and analysesPlant-to-Plant transfer planning and analysisContinuous Improvement Projects/AutomationUtilize advanced analytical tools to perform project calculations and cost profitability calculations and analysis for differing cost and profitability scenarios to provide a transparent view to the stakeholders for decision makingAutomation of standard processes and complex data mining requirements utilizing advanced and highly efficient customized solutionsValued business partner for the value stream leaders by participation in cost reduction (RPP) projects as well as by providing cost transparency for their respective cost centersTracking standard cost development for lead product (key focus product line)Preparation of annual business plan, quarterly forecast and monthly results analyses for responsible product areasMeasuring financial results compared to business plan to analyze variancesPrepare capital budgeting decision models (e.g., calculating NPV, IRR, make or buy decision) and analyses for commercial managementConstantly strive for continuous improvement of processes (CIP) within the area of responsibilities.Perform other essential and related duties as may be assigned.QualificationsBachelor’s Degree (B.S./B.A.) from a four-year college or university. Master’s Business/Finance/Information Systems) from an accredited institution (ex. CHEA)Since this position will report to a US location, English level is advanced as a mandatory requirementExpertise: minimum 2 yrs. experience in a manufacturing or other relevant industry experience, or a Bachelor’s (Finance/Accounting) from an accredited institution (ex. CHEA) with minimum 4 yrs. experience in a manufacturing or other relevant industry experience.Mathematical skill, Independent decisions of a complex nature, Computer Skills, Leadership skill, goals oriented, Cost Consciousness, Stability Additional InformationAutomotive world wide company with a high performance culture",,Automotive world wide company with a high performance culture
Logistic Engineer,"C. Hornos 5051 -1, Juáre, 32630 Cd Juárez, Chih., Mexico",Full-time,Full-time,"Company DescriptionBosch fue fundada en Stuttgart en 1886 por Robert Bosch (1861-1942), y por más de 130 años se ha distinguido por una cultura corporativa única, basada en valores sólidos que nos impulsan a mejorar cada día. Nuestros productos, presentes en una amplia variedad de terrenos, contribuyen a mejorar la calidad de vida de millones de personas.Job DescriptionCore activities – 85%:Responsible of all procedures, work instructions and documents related to internal logistics applicable to material flow (Inbound, production supply, outbound).Evaluate and Improve material flow, tools and equipment.Inventory analysis: ABC, FIFO, Supermarkets.Responsible to keep up to day PFEP (Plan For Every Part).Responsible of continuous improvement activities related to warehouse.Reponsible of safety, visualization and 5s projects.Responsible of layout optimization projects.SAP Key user - Warehouse managementQualificationsBachelors degree in Engineering.3+ years of experience in warehouse / Industrial Engineering.Microsoft office, microsoft project, AutoCAD, SAPHigh Proficiency in English Language (>80%)Demonstrate strong communication, collaboration, and organizational skills.Strong Knoledge in SAP Key user - Warehouse managementAdditional InformationBosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 13 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología. Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados.","Bachelors degree in Engineering., 3+ years of experience in warehouse / Industrial Engineering., Microsoft office, microsoft project, AutoCAD, SAP, High Proficiency in English Language (>80%), Demonstrate strong communication, collaboration, and organizational skills., Strong Knoledge in SAP Key user - Warehouse management","Bosch amplía constantemente su presencia internacional, ya que para nosotros la diversidad cultural representa una de nuestras mayores fuerzas. Impulsamos continuamente el crecimiento de nuestros más de 13 mil asociados, quienes desarrollan todo su potencial en una de las empresas con más alta calidad en materia de tecnología. Valoramos el balance entre vida personal y laboral como una de las principales herramientas para mejorar la creatividad y productividad de nuestros asociados."
Industrialization Engineer,"Av. Colon No. 20, Parque Industrial Aerotech, Queretaro, Colon, Mexico",Full-time,Full-time,"Company DescriptionBosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for more than 130 years has been distinguished by a unique corporate culture based on solid values ​​that drive us to improve every day. Our products, present in a wide variety of fields, that contribute to improve the quality of life of millions of people.Job DescriptionLeads and/or participates in Industrialization Projects in defined areas of expertise targeting design, construction, installation and modification of manufacturing and assembly equipment.Responsibilities include direct engineering support of production and continuous improvement activities. Duties and tasks are routine and non-routine. Resolves most questions and problems self-dependently and refers only the most complex issues to higher levels.Implement Lean Manufacturing principles in existing processes.Contribute knowledge of manufacturing processes to Design for Manufacturability activities.Develop and maintain APQP documents such as PFMEA, flow charts, etc.Develop and maintain process documentation such as Set-up Instructions and Work Instructions.Lead and provide input for the specification, design, build and launch of new processes.Lead in procurement, installation and runoff of new equipment.Analyze existing and future production capacity requirements including the maintenance of the capacity charts for their respective lines.Incorporate needs of Production into project and process activities.Develop Preventive Maintenance and spare parts plan for equipment.Provide and maintain project timelines and budgets.Develop engineering practices and procedures to improve existing systems.Support continuous improvement activities to address safety, cost, quality and productivity for the assigned manufacturing linesLead contact to machine or equipment suppliersDevelop new technologies and suppliers for manufacturing processesHaving frequent meetings with the BU’s over the status of the project at least once a month.Promote and enhance collaboration with lead plants FleP and SgmP.Willing to travel to visit suppliers review lines progress national and international.QualificationsEducation:a) Minimum level: Bachelor’s Degree (B.S./B.A.) from a five-year college or university. b) Expertise: min. 3-5 years of related manufacturing experience relocating lines or installing lines; or equivalent combination of education and manufacturing assembly lines experience.Experience must be gained in areas of engineering, procurement, construction and launch of manufacturing assembly lines, technical problem solving.Computer SkillsMust have advanced computer skills and advanced knowledge of Microsoft Word, Excel (Macros and Pivot tables), PowerPoint, AutoCAD etc.  Technical SkillsForce and distance units (Kistler unit), Vision systems (Keyence and cognex), Screwing processes, Siemens PLC's controls and HMI's knowledge desired, Manufacturing engineering knowledge. Additional InformationDevelopment and execution of industrialization strategy.Launch new products and manufacturing lines according to customer and internal requirementsAchieving cost, quality, timing targets for the project under his/her responsibility. Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.",,"Development and execution of industrialization strategy.Launch new products and manufacturing lines according to customer and internal requirementsAchieving cost, quality, timing targets for the project under his/her responsibility. Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates."
Software Developer,"Av. Ignacio L. Vallarta 3300, Vallarta Nte., 44690 Guadalajara, Jal., Mexico",Full-time,Full-time,"Company DescriptionBosch is a multinational engineering and electronics company that produces automotive components and industrial products.Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology with us, you will have the chance to improve quality of life across the globe.At Bosch you will take responsibility for products enclosures development support, quality improvement and cost reduction. You will work designing 3D & 2D; BOM release on respective PLM system. Assist for test plan and test report creation and assist for manufacture and supplier communication of technical topic and design implementation in production line.https://www.bosch.com/company/our-history/Job DescriptionWe are looking for a highly skilled computer programmer who is comfortable with both front and back end programming. Software developers are responsible for developing and designing back end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties.Design, develop, and deploy backend APIs using JS frameworks or Golang that deliver content to their front-end teams  Development experience with Node.js  Hands on with microservices architecture and RESTful web services  Strong SQL database experience  Experience with cloud-based API Management / Gateway -> AWS/Azure  Knowledge of Application layer protocol such as HTTP  Knowledge of mongo dB / firebase databases   Experience in using Git, SVN etc. QualificationsDegree in Computer Science or Electronics and Communication or Information Technology with 3+ years of relevant experienceStrong organizational and project management skills.Nice to have:Container experience with Docker/Kubernetes Familiar with Python, Golang, Visual Code  Development experience with a modern framework like Angular, React, and/or Vue Additional InformationStable, consistent transparency of risks & problemsGood internal and external communicationDiplomatic skills and assertivenessIntegration and motivation with the project team","Degree in Computer Science or Electronics and Communication or Information Technology with 3+ years of relevant experience, Strong organizational and project management skills., Container experience with Docker/Kubernetes, Familiar with Python, Golang, Visual Code, Development experience with a modern framework like Angular, React, and/or Vue","Stable, consistent transparency of risks & problemsGood internal and external communicationDiplomatic skills and assertivenessIntegration and motivation with the project team"
SAP Hybris Commerce Developer,"Av. Ignacio L. Vallarta 3090, Vallarta Nte., 44690 Guadalajara, Jal., Mexico",,,,,
IT Systems Specialist/Administrator for BSH,"Sta. Rosa - Salinas Victoria, Centro de Salinas Victoria, Salinas Victoria, N.L., México",A jornada completa,A jornada completa,"Descripción de la empresaBosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for more than 130 years has been distinguished by a unique corporate culture based on solid values ​​that drive us to improve every day. Our products, present in a wide variety of fields, that contribute to improve the quality of life of millions of people.About BOSCH BSHFounded in Germany in 1967 as a joint venture of Robert Bosch GmbH (Stuttgart) and Siemens AG (Munich), BSH has been 100% owned by the Bosch Group since January 2015.We have grown enormously in our over 50-year history. From our roots as a German exporter, we’ve evolved to become one of the world's leading home appliance manufacturers with around 40 factories worldwide. Our product portfolio ranges from large home appliances – such as cooktops, ovens, extractor hoods, dishwashers, washers, dryers, fridges, and freezers – to small home appliances, such as vacuum cleaners, espresso machines as well as small kitchen appliances.Descripción del empleoThis position will provide first- and second-level support to BSH employees for all IT issues in Monterrey, Mexico.Provide excellent IT support to users via phone, remote desktop, email and in-personSupport for all IT issues, including but not limited to: PCs, laptops, Industrial Tablets, printers, applications and factory devices/scannersPrioritizing, documenting and resolving tickets in a timely manner with proper communication to all involvedRoot cause analysis of High Priority IncidentsInstalling, moving, setting up and tearing down computer systems and applicationsResponding to and troubleshooting hardware and software issuesParticipate in factory projects with IT involved and local IT projectsSupport of network, Internet, server, share drive, telecom and application issuesProvide operational support of server rooms and equipmentSupport cabling infrastructureAdministrative support of local server based productsSupports IT  infrastructure and operations in tailoring the infrastructure services to the local needs of e.g. a whole location, production line or buildingRemote desktop support using DameWare, VNC and Windows Remote AssistanceSupport of Windows operating systems, including Windows 10Support of Microsoft Office 2016 and 365 applications, including in-depth knowledge of OutlookSupport of video conference systems and equipmentSupport of mobile devices, tablets and applicationsInventory of IT hardware, software and systemsEnsures planning and purchasing of user and factory devicesRequisitos3-5 years IT support experience required (manufacturing organizations are preferred)BS in Computer Science preferredIntermediate English level or higherExcellent written and verbal communication skills with the ability to teach and train associates in all aspects of operations.      Strong organization and interpersonal skills to work efficiently with various user groups.ITIL or COBIT certificates would be an advantageStrong analytical capabilities to investigate and define problem cases.                 Proficient in Microsoft Office products (Word, Excel, PowerPoint)Ability to lift up to 15 kgAny of the above requirements/qualifications may be waived for the successful candidateInformación adicionalBosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 18,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.

Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe. Welcome to Bosch.Get to know more about how we work at Bosch and our new open positions on our social networks:Facebook: Bosch Talento MéxicoInstagram: Bosch Campus MéxicoLinkedIn: Bosch MéxicoTiktok: Bosch Talento México","3-5 years IT support experience required (manufacturing organizations are preferred), BS in Computer Science preferred, Intermediate English level or higher, Excellent written and verbal communication skills with the ability to teach and train associates in all aspects of operations., Strong organization and interpersonal skills to work efficiently with various user groups., ITIL or COBIT certificates would be an advantage, Strong analytical capabilities to investigate and define problem cases., Proficient in Microsoft Office products (Word, Excel, PowerPoint), Ability to lift up to 15 kg, Any of the above requirements/qualifications may be waived for the successful candidate","Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 18,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.

Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe. Welcome to Bosch.Get to know more about how we work at Bosch and our new open positions on our social networks:Facebook: Bosch Talento MéxicoInstagram: Bosch Campus MéxicoLinkedIn: Bosch MéxicoTiktok: Bosch Talento México"
Embedded Software Developer (Entry Level),"Av. Ignacio L. Vallarta 3300, Vallarta Nte., 44690 Guadalajara, Jal., Mexico",Full-time,Full-time,"Company DescriptionRobert Bosch is a world-class engineering and manufacturing company.  Our products impact hundreds of millions of people every day, many in safety critical systems. For example, Artificial intelligence, Advanced Driver Assistance Systems and Sensor Fusion topics are making an impact in Bosch’s products and services in many domains, including manufacturing, autonomous driving, predictive maintenance, vehicle diagnostics and supply chain & logistics. We have a global team of Embedded SW Developers and research scientists focused on applying state-of-the-art technologies to improve all aspects of Bosch’s products and operations.Job DescriptionWe are looking for an Embedded Software Developer (Entry Level) who is willing to work on a project where each team member contributes to the SW Development success of Advanced Driver Assistance Systems (ADAS) features. Technical curiosity paired with a passion for engineering is a must for this role, we are looking for someone who applies strategic problem solving and enables the team to understand even the most complex technical challenges down to the last bit. Eagerness to own Software development related activities, high-quality oriented processes and innovation initiatives. ObjectiveEmbedded SW Development related Activities for Advanced Driver Assistance Systems (ADAS) SW Projects. ResponsibilitiesEmbedded Software Integration:  continuous integration framework maintenance and support, task automation, build management, integration test and documentation for Driver Assistance products.Embedded Software Development: design, coding, code configuration, test and documentation for Driver Assistance products.Requirement/Task implementation.SW maintenance and testing: Debug Test, configuration management and documentation.Follow quality process for software development testing according to ISO26262 and ASPICEQualificationsC Programming Experience (Entry level: more than 1 yrs academic and/or industry experience).Python Programming Experience (Entry level: more than 1 yrs academic and/or industry experience).Software Build Management and Automation Tools Knowledge (e.g. Make/Jenkins Server)Knowledge of configuration and change management tools (e.g. Git/Jira, IBM ALM, etc.)English Language Professional Level.Teamwork skills.Good communication and interpersonal skillsAble to learn independently, self-learning skills. Nice to have:Knowledge in software development life-cycle.Good knowledge or must have used these communication protocols CAN.Unit Test Driven Development / Unit Testing Experience (e.g. VectorCast or CANTATA)Static code analysis experience.Knowledge / experience with Quality process & Safety-standards such as ASPICE/CMMI, ISO 26262.Additional InformationDo you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe.Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 17,000 associates.We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates. Vacancy applies to the referral program.","C Programming Experience (Entry level: more than 1 yrs academic and/or industry experience)., Python Programming Experience (Entry level: more than 1 yrs academic and/or industry experience)., Software Build Management and Automation Tools Knowledge (e.g. Make/Jenkins Server), Knowledge of configuration and change management tools (e.g. Git/Jira, IBM ALM, etc.), English Language Professional Level., Teamwork skills., Good communication and interpersonal skills, Able to learn independently, self-learning skills., Knowledge in software development life-cycle., Good knowledge or must have used these communication protocols CAN., Unit Test Driven Development / Unit Testing Experience (e.g. VectorCast or CANTATA), Static code analysis experience., Knowledge / experience with Quality process & Safety-standards such as ASPICE/CMMI, ISO 26262.","Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe.Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 17,000 associates.We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates. Vacancy applies to the referral program."
